,case,days,new_case
1/22/20,0,1,
1/23/20,0,2,0
1/24/20,0,3,0
1/25/20,0,4,0
1/26/20,0,5,0
1/27/20,0,6,0
1/28/20,0,7,0
1/29/20,0,8,0
1/30/20,1,9,1
1/31/20,1,10,0
2/1/20,1,11,0
2/2/20,2,12,1
2/3/20,3,13,1
2/4/20,3,14,0
2/5/20,3,15,0
2/6/20,3,16,0
2/7/20,3,17,0
2/8/20,3,18,0
2/9/20,3,19,0
2/10/20,3,20,0
2/11/20,3,21,0
2/12/20,3,22,0
2/13/20,3,23,0
2/14/20,3,24,0
2/15/20,3,25,0
2/16/20,3,26,0
2/17/20,3,27,0
2/18/20,3,28,0
2/19/20,3,29,0
2/20/20,3,30,0
2/21/20,3,31,0
2/22/20,3,32,0
2/23/20,3,33,0
2/24/20,3,34,0
2/25/20,3,35,0
2/26/20,3,36,0
2/27/20,3,37,0
2/28/20,3,38,0
2/29/20,3,39,0
3/1/20,3,40,0
3/2/20,5,41,2
3/3/20,5,42,0
3/4/20,28,43,23
3/5/20,30,44,2
3/6/20,31,45,1
3/7/20,34,46,3
3/8/20,39,47,5
3/9/20,43,48,4
3/10/20,56,49,13
3/11/20,62,50,6
3/12/20,73,51,11
3/13/20,82,52,9
3/14/20,102,53,20
3/15/20,113,54,11
3/16/20,119,55,6
3/17/20,142,56,23
3/18/20,156,57,14
3/19/20,194,58,38
3/20/20,244,59,50
3/21/20,330,60,86
3/22/20,396,61,66
3/23/20,499,62,103
3/24/20,536,63,37
3/25/20,657,64,121
3/26/20,727,65,70
3/27/20,887,66,160
3/28/20,987,67,100
3/29/20,1024,68,37
3/30/20,1251,69,227
3/31/20,1397,70,146
4/1/20,1998,71,601
4/2/20,2543,72,545
4/3/20,2567,73,24
4/4/20,3082,74,515
4/5/20,3588,75,506
4/6/20,4778,76,1190
4/7/20,5311,77,533
4/8/20,5916,78,605
4/9/20,6725,79,809
4/10/20,7598,80,873
4/11/20,8446,81,848
4/12/20,9205,82,759
4/13/20,10453,83,1248
4/14/20,11487,84,1034
4/15/20,12322,85,835
4/16/20,13430,86,1108
4/17/20,14352,87,922
4/18/20,15722,88,1370
4/19/20,17615,89,1893
4/20/20,18539,90,924
4/21/20,20080,91,1541
